"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2"
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2005,498102,0,3532,0,0,0,63,423,544,0,0,2022,63514,20542.9196871322,0,768,72928.640328529,3928.9145,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2006,288007,0,0,0,0,0,15,1734,1552.93069353594,33.92765,0,2029,123393.689290042,38310.7697565601,58.7921289651045,11964.7047971372,73029.79985,7613.453,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2007,251835,0,0,2235.37202732473,0,0,81,3206.77862494932,6172.69302181056,0.254409158678628,0,18490.4862981825,452111.951456581,183110.8627,900.926191834604,216.5445,64436.9725,9434.7695,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2008,164299,0,0,33.92765,0.390538504206105,0,0,8619.69931592901,5738.03890549573,158.67043478138,0,6488.926,464655.478576359,215641.735272463,154.1439,507.581,60733.4349,5957.75496574282,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2009,277280,0,500.601123941933,6.92953617519759,0,0,349.41455,14741.9429090774,7406.58897910402,0,0,11321.522690483,921554.410341562,51166.6750346811,0,6778.4104,74984.6841614385,1009.2959,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2010,276649,0,202.5739,0,0,0,1019.62786227138,34358.7700196828,44157.8824289796,0,0,28965.5229,578076.423039726,29006.3170539572,NA,2578.0089,22456.4817,NA,0,0,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2011,230273,0,0,0,0,0,2428.415,35700.1115075214,17984.2023283694,NA,0,48035.1535700438,645806.0669836,NA,NA,1551.1745,NA,NA,0,NA,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2012,314605,0,0,77.0765,NA,0,846.038004301023,35768.5014042189,NA,NA,0,21225.2167,NA,NA,NA,NA,NA,NA,0,NA,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2013,336479,0,128.9174,NA,NA,0,1571.4355,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2014,543469,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2015,368896,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,2016,314935,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
