"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R2.5","R3.1","R3.2","R3.3","R3.4","R4.2","R4.3"
151,"Sockeye","Black Lake","Chignik","Chignik",1,1922,86421,0,0,0,0,0,0,40685,659040,0,0,0,56121,202612,1222,0,0,2465,1669,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1923,4642,0,0,0,0,0,0,18213,172343,2677,0,0,53445,132776,436,0,0,410,59,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1924,121983,0,0,0,0,0,0,85083,1206555,426,0,0,8855,19931,384,0,0,939,384,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1925,386364,0,0,0,0,0,0,1529,54164,384,0,0,9924,50707,17,0,0,937,0,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1926,289009,0,0,0,0,0,0,7544,104094,11714,0,420,45572,352025,0,0,0,7117,1708,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1927,857881,0,0,0,0,0,0,99929,2375878,721,0,66,85253,107239,3699,0,0,165,4234,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1928,507353,0,0,0,0,0,0,23860,304338,9848,0,0,49284,428369,409,0,0,2755,2118,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1929,995832,0,0,0,0,0,0,9910,918487,5626,0,0,58777,60214,144,0,0,865,144,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1930,92955,0,0,0,0,0,0,23769,286339,6663,0,0,13886,43297,4,0,0,3527,0,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1931,96201,0,0,0,0,0,0,33685,923763,28,0,943,46710,122389,655,0,0,0,58,0,0,0
151,"Sockeye","Black Lake","Chignik","Chignik",1,1932,2151734,0,0,0,0,0,0,50602,191354,10350,0,0,36823,43060,8584,0,0,291,234,0,0,0
