"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2"
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1990,226707,0,0,0,0,0,1096.0080468,18217.1262599795,33393,0,0,12986.1261694,400750,210744,455,1678,15341,9340,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1991,190358,0,0,0,0,0,620.7846184,2031,1728,0,0,57463,330834,105361,0,302,630,0,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1992,185825,0,0,0,0,0,3545,20513,27471,0,0,78168,211959,185147.671658612,0,4666,18140.7258348165,2209,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1993,178391,0,0,45,0,0,2529,12677,56177.5987120374,0,0,41759,291217.769035866,64155,256,4830.85235054773,17867,5830,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1994,206071,0,0,0,0,0,2056,23033.877682277,39741,0,0,17688.2935447095,112849,77546,187,1048,15427,15733,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1995,196323,0,0,0,0,0,10106.4438112081,59574,77223,0,0,39574,152287,251356,878.21366397395,1251,11284,5794.12702110339,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1996,198695,0,0,0,0,0,20062,41983,81667,1670.22230571733,0,22276,32786,54174.8284801804,211.311282528737,26,108.833840566097,200.93899,0,92,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1997,205264,0,0,0,0,0,626,8327,10461.7405097376,832.971882710498,0,1639,15598.0226563968,19672.742661539,0,176.280638004896,2251.05760806992,0,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1998,233755,0,0,0,0,0,367,1450.0115223245,14884.1953176066,0,0,18942.6055309058,128296.96787801,58314.8774788265,362.21875001145,12803.2935074262,89183.7869280155,33767.3040144438,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,1999,216565,0,0,0,0,0,879.113831089351,3754.38177066191,78.813974186027,0,0,104150.205021959,484554.298999832,239960.869627946,648.972847193939,0,1296.59821671846,2576.29386084645,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,2000,158044,0,0,0,0,0,26856.0584356144,69457.3343089537,218891.065848916,720.972581327483,0,10096.8217551232,105836.607059111,79630.681964387,678.114733239756,0,435.402913703181,308.745947908772,0,0,316.057443131621
144,"Sockeye","Frazer","Kodiak","Kodiak",1,2001,154349,0,0,0,0,0,565.035684876849,21562.5034837731,7110.06169985746,145.042585899634,0,2507.8672407965,5096.19154481557,14177.113257574,774.04707623524,8507.50807483596,38039.7711851392,80473.0385133311,0,223.40742142261,706.113198292019
144,"Sockeye","Frazer","Kodiak","Kodiak",1,2002,85317,0,0,0,0,0,1675.24708719975,6800.51735918704,6216.00996539882,0,0,5172.88113872082,34309.3582520655,44275.0736720669,415.687503190781,8528.02164285009,35649.7619419081,29093.0033008848,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,2003,201679,0,0,0,0,0,1200.66254644322,9899.21237455088,16347.8222076609,0,0,44358.6435687074,169365.295008512,81122.7286884973,184.199129534959,3429.54555206819,31296.0518495707,1235.72263026378,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,2004,120664,0,0,0,0,0,11273.8834092707,147144.559171643,91013.9331964079,297.684227192204,0,19605.5948839892,197566.72364223,25918.1235350447,175.32328768252,0,243.298835270454,0,0,0,0
144,"Sockeye","Frazer","Kodiak","Kodiak",1,2005,136948,0,0,0,0,0,2318.02005101642,34034.4046546373,43135.5479597529,435.393295816534,0,8824.44956420266,36814.7359339515,36735.0751465682,338.758812913957,5934.56275625591,3222.47621596714,499.952355471507,0,88.6235765361865,0
