"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R2.5","R3.1","R3.2","R3.3","R3.4","R4.2","R4.3"
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1958,212594,0,0,0,0,0,1459,50630,23204,0,0,0,139797,419108,93,0,0,980.348187845511,432,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1959,308645,0,0,0,0,0,3286,18094,109203.785638934,117,0,907,81669.0061792934,197975,688.99800961394,0,0,738,186.999459793624,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1960,357230,0,0,0,0,0,146,24454.6855102769,122278,1313.99620411135,0,491.174449216476,8273,210883,1617.99700315983,0,0,140.999592678615,12823.9762475412,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1961,254970,0,0,0,0,0,718.255100890895,1899,109934.682419316,219.999592518642,0,799,18701.9459735848,401732,5335,0,0,2697.9950027968,2420,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1962,324860,0,0,0,0,0,123,4311.9875434765,44073.9183666665,998,0,0,69810.8706969043,692188,1109,0,0,1074,0,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1963,200314,0,0,0,0,0,0,5535.98974628729,103116,29,0,1299.99759215561,68605,243939,1528.61698255487,0,0,0,882.95198126254,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1964,166625,0,0,0,0,0,87.9998370074569,6607,24880,712.879338966296,0,4550,65639,140826,193.666193151893,0,0,960.350309493167,5775.97612161304,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1965,163151,0,0,0,0,0,1636,25157,162040.528944206,360.880418458649,0,5547,59008.0780834073,614234,649.803416418196,0,0,971.165105171444,94754.2252765007,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1966,183525,0,0,0,0,0,1715,14784.0990911053,284130.978469123,454.680882158542,0,942.019126491176,28589.853674906,407966,0,0,0,2418.61187814873,16843.2605124263,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1967,189000,0,0,0,0,0,510.217926888734,5844.94018063786,77202.2726598417,653.301921054106,0,725.539689466604,30657.834092211,449704,1298.64391647961,0,0,2590.84071402341,0,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1968,244836,0,0,0,0,0,863.467807516245,3780.83943128241,107957.909464918,615.680721226671,0,0,19044.5431622548,564765,2470.51637872078,0,0,15101.6895468548,27626.4507129193,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1969,132055,0,0,0,0,0,0,1154.69483621403,82330.7062649922,750.978222888741,0,989.738431040599,262258.788654855,447837,0,0,0,6690.86710074956,14979.592582806,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1970,119952,0,0,0,0,0,0,17648.2851048627,25380.8605745503,1180.66636910288,0,11648.1631060818,138709.717259214,413207,0,0,0,10933.2572343708,17735.7627287325,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1971,232501,0,0,0,0,0,1451.64241905989,14182.288003894,166199.84278634,210.651233214941,0,11585.9965438336,367841.175881622,1694467,2929.99744333006,0,0,3656.04852223897,17354.9848563117,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1972,231270,0,0,0,0,0,0,26951.9795502264,107681.161541599,28.9999746950757,0,2190.23465285018,85847.5182548584,799853,21.0000178122336,0,0,32587.9715642457,3974.00337075316,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1973,243728.98124322,0,0,0,0,0,0,5157.38485388105,86673.9243696892,0,0,9586.41629122231,184712.838822466,888233,1239.50800166547,0,0,3246.0027532624,5754.16253917815,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1974,313343.07766151,0,0,0,0,0,3945.24767292389,19440.9830361023,42549.0360901299,0,0,2437.99787264119,208999.177273286,730297,2525.99703748184,0,0,2132.10967582079,10256.9879704874,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1975,257675,0,0,0,0,0,0,25210.0213831624,95378.7764897913,546.999358472907,0,6263.00531228662,248864.362837532,1107896,5569.0140497783,0,0,3420.99598781685,2025.64245523506,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1976,276793,0,0,0,0,0,470.000398654752,59597.7275014624,456314.464829186,2144.85682327313,0,947.171208819841,85676.8995171541,431387,2852.00152611138,0,0,0,9.0000048159195,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1977,328915.783333804,0,0,0,0,0,231.9205223242,34851.9591252244,134257.41804193,1757.00094017451,0,3340.99608164165,51802.1492174827,1181013,1422.99721239954,0,0,0,82.999837406298,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1978,262815.332901432,0,0,0,0,0,471.999446433661,14469.0177947379,218660.11700544,1016.99800773741,0,5028.04128725261,281558.150662296,397067,1315.04375058531,0,0,864.998305499371,264.00878338747,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1979,246318,0,0,0,0,0,1752.15066973597,175512.093916852,397619.347880125,990.032937703011,0,5358.00286707741,42026.3222167994,255735,1244.99844977456,0,0,701.023322555364,546.999318896937,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1980,294480.639200317,0,0,9888.69928050884,0,0,2083.00111461781,17500.3542993675,157118.227213468,433.999459600129,0,9188.06364500157,297625.901805474,437119,920.001450042871,0,0,2648.99670156853,353.000556375145,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1981,261239.289146816,0,0,813.027048840958,0,0,1451.9971555897,90365.0063805247,233598.709131637,472.000743935038,0,3932.13081924065,70054.9127702466,312253,559.998615586763,0,0,101.000159189489,91.9997725606824,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1982,221611,0,114.003792826407,1216.99848463907,0,0,2585.08600400231,52357.9348058607,210914.332428633,763.998111264797,0,3884.99516254954,94527.1489871766,561643,1377.00092620743,0,0,120.999700867854,0,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1983,428034.344209748,0,0,2193.00345646089,91.9997725606824,0,0,8510.01341289655,117669.709100168,240.000161430489,0,3195.00503574671,91649.7734259407,1009599,11640.0112296138,195.999811547522,0,796.000535411123,98.0000945448582,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1984,268495,0,127.000200168962,500.998761444586,0,0,840.001323952186,26883.9335382759,148351.099784894,2901.00279872075,0,8246.97961204291,290786.195590526,1479377,8369.99195230999,0,0,1997.00192659267,6088.99414547378,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1985,369260,59.0000929918798,91.9997725606824,169.00011367397,812.000783371682,0,505.998749083753,18640.012537768,201663.194553058,4465.99570597567,0,13904.0093522064,165790.159944817,371001,3134,0,0,1080.99896062689,3235,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1986,215547.160900819,182.999547593531,57.0000383397412,15514.0149670299,70.9999317340512,0,2789.00187595681,185179.178650227,432881.583787318,1426,0,754.000727416562,146016.859605788,437925,10620,0,70.9999317340512,6388,1999,289.999055102204,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1987,214443.984011152,0,6931.00668663686,871.99916157877,351,0,435.000419663401,59253.9430277391,465482,6211,0,7544.99274554108,193580,949903,5073.98346754683,0,185,6215,55341.8196809178,76.9999088373866,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1988,255177.122349777,0,0,918,0,0,2133.99794817557,55582,300257,1744.99431432188,0,2506,96409,188577,8043.99047646673,0,77,2914.99050214801,5330.99368846894,236.000241694813,0,243.000248863727
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1989,557174.343058232,0,466,8382,212.99930598886,0,8533,147864,246145.1979903,2697.99680575674,0,3336,80582.7374389686,1035071,10527.0107810225,0,373.99878140767,5453.99354284554,80612.0825572131,38.9999591315775,125.000128016321,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1990,335859.84407239,0,502,6078.98019298723,184.999780972942,0,391,24793.9192144967,352034.583215187,2106.00215681897,0,1215.99603794579,175775.791893513,429703,1909.9979984952,0,0,1114.00114088145,15592.9836599663,222.000193035085,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1991,377438.009303705,0,274.999103976228,1508.99821344956,187.000191512416,0,198.999351604616,99476.882226191,306111.313497631,554.99941841091,0,1733.9979470653,91207.0934078764,467217,4811.00418329638,0,0,2839.99702394051,4435.00385635407,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1992,403755.29442826,0,508.999397379608,24392.0249805927,82.9999130236136,0,1386.99835788903,17719.0181465695,209850.780095402,2266.00197034912,0,11162.0114313454,195816.794801746,553227,1056,0,4116.99568576165,54833.0476787966,19565,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1993,333115.80296472,0,588.000602188772,4057.99574758824,65.0000565192818,0,406.000415797009,30337.9682085589,155323.135057606,1936,0,20805.9781972205,299921.260789531,1018014,1093.99740589862,0,0,4750,77.999815045788,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1994,197444.105729828,0,84.999910927797,0,0,0,971.998981433161,65572.0570166515,449431,3364.9920208856,0,6927.00602321638,303639,428662,2415.0014738407,0,0,192.999542356886,2122.0012950269,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1995,373424.701884989,0,487.00042345985,5536,0,0,1961.00170514325,177134,287466.318355994,4408.00269014071,0,0,34514.9181577612,790224,9682.18222479565,0,127.999696485396,2733.00166791165,11729.2207513559,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1996,284389.379335834,0,1250,42249.8998164685,283.000172710939,0,77,42680.8987944779,755131.460845881,7338.13810840224,0,189.999549470509,37554.0229186806,488256,3724.99608750544,0,0,3524.06632515801,6974.99267391957,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1997,378950.060474337,0,2698.99360011002,3890.00237401256,275.005175771411,0,127.999696485396,35497.0216633223,221341.165780789,1934.99796760349,0,2161.00131882806,91022.7131050532,598081,3778.99796288908,0,0,2428.99744873844,2788.99849655931,218,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1998,290468.891222416,0,219.000133652635,2094.03941114667,0,0,1939.00118334456,67102.2629070454,238665.749320959,442.999761196047,0,161.003030178899,38618.959437147,161660,277,0,0,459.999752032013,592,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1999,258542.392654178,0,660.012421851387,7876.9917265182,0,0,78.0014680369821,50523.9469329194,131350.929193819,1974,0,2171.99771867431,39709.978593894,111636,2265.35659080012,0,0,109,1553.55875644457,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2000,269086,0,235.99975212115,3724.99799199837,0,0,837.999119820015,59499.96792588,551058,10263.0850667052,0,1668.99910030746,17973,463675,11912.9874579801,0,0,0,2728.9971269057,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2001,392903,0,0,13049,1607.54342365692,0,316.218366538969,13614,383305.133232585,22154.9766751908,0,922,48615.1922568486,441534,6749.140707659,0,0,481.999492549853,0,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2002,341132,0,0,11401.7616584622,1129.99881033472,0,394,36889.5225951123,350417.631079532,3538.40538306526,1230.15033068638,0,28708.9697751322,317173.755154492,3105.00083467968,0,0,343.396951083176,1735.16046644213,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2003,334119,0,815.76830454232,20582.9783301942,0,0,803.771711828462,61185.9355833097,301317.009165485,4106.30110384708,0,240.999746274926,62734.3183781042,549704.147770293,3715.20609452335,0,0,0,3212.38726749106,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2004,214459,0,8235.99132912985,56510.3155948554,0,0,529.999442015398,43625.69238715,367978.098919086,2113.47307907833,0,621.457225188135,188016.240542124,589976.496092041,7796.36470321383,0,0,0,10222.3831956956,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2005,225366,0,385.509052917536,11064.4129743118,0,0,0,97493.0262078668,432921.734336307,2335.52862513936,0,1001.46026921041,61748.8914958061,333777.423895555,2884,0,0,30086.1944045081,33560,6745.8413159,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2006,368995.601,0,1430.00038440964,15995.4856843424,0,0,733.000197043545,75181.3226261932,239751.762643516,4793,0,3162.1889386271,202953.952371609,976710,12943.6712542181,0,185.192696481,1006,48391.5338194621,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2007,293883,0,2507.16972256468,15469.1667472848,0,0,2497.64466302511,19113.3241569716,60123,0,0,681.926279959818,94193,796083.393415068,4389.53400886472,0,0,0,792.598213699754,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2008,328479.078149306,0,1476.69211755236,960,0,0,2538.13372348242,215567,354385.548669926,1667.29179239676,0,567,50681.4053831589,405520.627977597,0,0,0,0,7440,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2009,328585.723091125,0,0,87.507309,2653.41363741433,0,1856,35219.2798752181,116554.46206377,1687,0,1751.8177204,230688.272492912,874765,478.165829145729,NA,0,4891,4191.29540376352,NA,0,NA
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2010,311376,0,0,390.755737451738,0,0,3485.27081025906,71558.5586703904,469001,954.859854536557,NA,19808.9007033071,143690,453533.432726119,NA,NA,0,1230.62093419231,NA,NA,NA,NA
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2011,264887.05116,0,0,508,0,0,7789.38433994336,99462,589877.595226524,NA,NA,12004,73950.1217793168,NA,NA,NA,0,NA,NA,NA,NA,NA
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2012,358947.75,0,0,1402.15950176983,NA,0,5438,45030.4554411796,NA,NA,NA,2131.36822329919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2013,369319,0,391.073033707865,NA,NA,0,1375.44509759442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2014,291228,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2015,589809,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,2016,354880,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
