"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2"
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1976,204037,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1977,185312,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1978,248741,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,10989.331600647,0,NA,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1979,212872,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,50484.3851285091,641.466318177259,NA,45653.6822624872,14673.3279022403,0,0,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1980,132396,NA,NA,NA,0,0,NA,NA,11635.4952425615,0,0,NA,193760.362116086,103898.925803009,0,4085,60395.2606924644,37688.8989946522,0,0,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1981,97937,NA,NA,0,0,0,NA,8557.96642856829,3734.89607891219,0,0,18604,278830.885800693,117158.140303723,272.026324659724,1672,38128.8275479395,22432.5503711559,0,0,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1982,122705,NA,0,841.419339177982,0,0,1244,4649.9009676196,21058.0121765849,0,0,5466,197292.803457062,93559.846811885,0,4169,37078.7412513256,20728,0,0,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1983,215620,0,0,563.996623241781,0,0,143,8158.58977407365,14244.2690940525,0,0,7031.66171398249,149946.995566098,183829,336.807076580375,1728,33945,14082.0080321285,0,0,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1984,288422,0,0,0,0,0,0,4090.41202234336,5830,0,0,8392.84363636364,97537,94258.1722323784,907.627297648247,738,30589.3915662651,19634,0,0,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1985,316688,0,0,24,0,0,0,4258,3969.2268018809,0,0,2842,72856.564421286,88599.4208050786,1955.10542728272,3010,57934,40330.6231454006,0,0,0
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1986,358756,0,24,336.807076580375,345.81607271678,0,0,6151.5632929106,6442.92275284952,93.5395585199174,0,2200.67389095835,87690.674361564,129381.437107987,478.566770525044,4031,131218.308605341,61223.187874085,0,0,1508
149,"Sockeye","Early Karluk","Kodiak","Kodiak",1,1987,354094,0,426.665757397021,1456.00877218295,0,0,0,957.988861636128,8503.38962598589,415.597429762067,0,2884,114503.706289264,44051.2521303903,285,19876,337905.07880775,60244,0,0,2309
